id,nombre,genero,desarrolladores,publicadores,fecha_lanzamiento,plataforma,calificacion,tamano_gb
1,Breakforcist battle,Party,Lucid Sheep Games,Lucid Sheep Games,2018-04-12,PC,7.5,69.6
2,Killallzombies,"Survival, third-person shooter",Beatshapers,Beatshapers,2019-01-24,PC,10.0,46.3
3,Racedierun,Racing,QubicGames,QubicGames,2019-08-09,PlayStation,8.1,8.8
4,'n velore verstand,Adventure,Skobbejak Games,Skobbejak Games,2018-11-06,Xbox,9.9,79.9
5,1-2-switch,Party,Nintendo EPD,Nintendo,2017-03-03,Xbox,9.4,67.7
6,10 second run returns,"Party, racing",Blue Print,Blue Print,2018-01-25,Xbox,6.0,77.7
7,1001 ultimate mahjong 2,Puzzle,Nawia Games,Nawia Games,2018-10-25,PC,8.9,74.5
8,12 is better than 6,Adventure,Ink Stains Games,HypeTrain Digital,2019-03-05,PC,8.7,68.7
9,12 labors of hercules'hercules,Adventure,"Jetdogs, Zoom Out Games",JetDogs,2019-03-24,Nintendo Switch,8.1,17.5
10,12 orbits,Party,Roman Uhilg,Roman Uhilg,2018-04-27,PC,7.1,41.4
11,140,Action,Carlsen Games,Carlsen Games,2019-01-09,PC,8.6,21.0
12,1917: the alien invasion dx,Action,Andrade Games,Korion,2018-06-14,PC,6.4,35.1
13,1979 revolution: black friday,Adventure,Ink Stories,Ink Stories,2018-08-02,Xbox,7.7,9.4
14,2048 battles,Party,Baltoro Games,Baltoro Games,2019-09-20,Xbox,7.8,33.4
15,2048 cat,Puzzle,Millo Games,Millo Games,2019-12-23,PC,9.8,78.9
16,2064: read only memories integral,Adventure,MidBoss,MidBoss,2018-08-14,Xbox,9.5,24.9
17,20xx,Platformer,Batterystaple Games,Batterystaple Games,2018-07-10,Nintendo Switch,7.1,63.8
18,30-in-1 game collection,Arcade,Digital Bards,Digital Bards,2019-05-30,Xbox,8.0,39.1
19,36 fragments of midnight,Platformer,Petite Games,"JP: Rainy Frog, WW: Ratalaika Games",2017-09-14,Nintendo Switch,6.7,36.7
20,3d minigolf,Sports,Joindots,Joindots,2018-02-01,PlayStation,9.7,76.8
21,60 parsecs!,Adventure,Robot Gentleman,Robot Gentleman,2019-12-20,PC,9.5,79.7
22,60 seconds!,Adventure,Robot Gentleman,Robot Gentleman,2017-12-18,Xbox,7.2,46.7
23,6180 the moon,Platformer,"Turtle Cream, PokPoong Games",Turtle Cream,2018-05-24,Nintendo Switch,8.6,58.9
24,7 billion humans,Puzzle,Tomorrow Corporation,Tomorrow Corporation,2018-10-25,PlayStation,8.4,16.6
25,8-ball pocket,Sports,Super PowerUp Games,Super PowerUp Games,2019-12-25,PlayStation,6.6,27.3
26,88 heroes: 98 heroes edition,Platformer,Bitmap Bureau,Rising Star Games,2017-10-12,Xbox,9.1,77.7
27,9 monkeys of shaolin,Beat 'em up,Sobaka Studio,Buka Entertainment,2025-04-07,Xbox,8.2,48.4
28,90s super gp,Racing,"Nicalis, Pelikan13",Nicalis,2025-04-07,PlayStation,9.1,45.7
29,99moves,Action,EnjoyUp Games,"JP: Starsign, WW: EnjoyUp Games",2019-02-08,PC,8.1,61.1
30,99seconds,Action,EnjoyUp Games,"JP: Starsign, WW: EnjoyUp Games",2019-01-04,PC,6.0,9.3
31,99vidas,Beat 'em up,QUByte Interactive,QUByte Interactive,2018-11-27,Nintendo Switch,7.3,48.8
32,A-kei otaku,Visual novel,Worker Bee,Worker Bee,2025-04-07,PC,6.1,42.7
33,A dark room,Adventure,Scratchwork Development,Circle Entertainment,2019-04-11,PlayStation,9.7,69.0
34,A duel hand disaster: trackher,Action,Ask An Enemy Studios,Ask An Enemy Studios,2019-06-10,PlayStation,9.5,16.8
35,A hat in time,Action-adventure,Gears for Breakfast,Humble Bundle,2019-10-18,PlayStation,9.3,77.1
36,Aaero,"Action, rhythm",Mad Fellows,Mad Fellows,2018-12-24,PC,7.2,11.0
37,Aborigenus,Platformer,Desconocido,Drageus Games,2020-01-10,Nintendo Switch,6.2,18.9
38,Abzû,Adventure,Giant Squid Studios,505 Games,2018-11-29,PC,9.5,49.6
39,Access denied,Puzzle,Stately Snail,Ratalaika Games,2019-02-08,Nintendo Switch,9.8,55.6
40,Ace of seafood,Shoot 'em up,Nussoft,Nussoft,2018-02-22,PC,6.3,22.6
41,Aces of the luftwaffe: squadron,Shoot 'em up,HandyGames,"JP: Worker Bee, WW: HandyGames",2017-11-17,PlayStation,7.9,14.0
42,Achtung! cthulhu tactics,Tactical role-playing,Desconocido,Ripstone,2019-01-24,PlayStation,6.3,71.8
43,Acorn tactics,Turn-based strategy,Tacs Games,Tacs Games,2017-12-07,Xbox,9.0,23.5
